"n_killed","longitude","latitude","date","n_injured","source_url"
1,-75.103,39.9999,2017-04-10,0,"http://6abc.com/news/victim-shot-and-killed-in-port-richmond-home-idd/1859628/"
1,-75.2058,39.967,2017-04-11,0,"http://6abc.com/news/man-34-shot-and-killed-in-west-philadelphia/1859345/"
1,-75.4768,40.605,2017-04-12,0,"http://www.mcall.com/news/breaking/mc-allentown-man-charged-with-nagle-st-homicide-20170428-story.html"
1,-79.62,40.3286,2017-04-13,0,"http://triblive.com/local/westmoreland/13113936-74/westmoreland-county-records-just-5-homicides-in-2017?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+tribliveBreakingNews+%28Breaking+News%29"
1,-75.176,39.9944,2017-04-14,0,"http://www.philly.com/philly/news/Philly-homicide-victims-identified-Friday-to-Monday-Easter-2017.html"
1,-76.7279,39.9541,2017-04-14,0,"http://fox43.com/2017/04/17/york-city-homicide-victim-died-from-multiple-gunshot-wounds/"
1,-75.2324,39.9367,2017-04-15,0,"http://www.philly.com/philly/news/Philly-homicide-victims-identified-Friday-to-Monday-Easter-2017.html"
1,-75.1173,39.9976,2017-04-16,0,"http://www.philly.com/philly/news/Philly-homicide-victims-identified-Friday-to-Monday-Easter-2017.html"
1,-75.2309,39.928,2017-04-17,0,"http://www.philly.com/philly/news/Philly-homicide-victims-identified-Friday-to-Monday-Easter-2017.html"
1,-75.1107,39.9904,2017-04-17,0,"http://www.philly.com/philly/news/Philly-homicide-victims-identified-Friday-to-Monday-Easter-2017.html"
1,-75.3419,40.119,2017-04-17,0,"http://6abc.com/news/norristown-police-search-for-shooting-suspect/1888353/"
1,-75.1374,39.9976,2017-04-19,0,"http://6abc.com/news/man-shot-and-killed-in-fairhill/1893485/"
2,-79.8357,40.3377,2017-04-20,0,"http://triblive.com/local/allegheny/12213900-74/two-dead-in-overnight-mckeesport-shooting?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TopTribliveStories+%28Top+Stories%29"
1,-74.9969,40.0505,2017-04-23,0,"http://6abc.com/news/victim-found-shot-to-death-in-tacony/1908491/"
3,-76.7654,39.9892,2017-04-23,0,"http://abc27.com/2017/04/24/girl-3-father-grandmother-dead-in-murder-suicide/"
1,-75.1661,40.0443,2017-04-23,0,"http://philadelphia.cbslocal.com/2017/04/23/police-man-shot-killed-in-east-germantown/"
1,-76.5842,39.755,2017-04-24,0,"http://fox43.com/2017/08/01/da-troopers-justified-in-shooting-north-hopewell-twp-man-who-fired-on-them/"
1,-75.1645,40.0366,2017-04-24,0,"http://6abc.com/news/argument-leads-to-deadly-shooting-in-germantown/1910096/"
1,-75.214,39.9691,2017-04-24,0,"http://www.philly.com/philly/news/crime/Man-25-fatally-shot-in-West-Philly.html"
2,-78.8728,40.294,2017-04-25,0,"http://www.tribdem.com/news/update-richland-township-police-investigating-murder-suicide-at-aspen-woods/article_cbf128aa-29a3-11e7-94b6-2b97356ea51b.html"
1,-76.8938,40.2764,2017-04-25,0,"http://www.pennlive.com/news/2017/04/second_suspect_arrested_in_lat.html"
1,-79.8536,40.3464,2017-04-25,0,"http://www.post-gazette.com/local/east/2017/04/26/McKeesport-Will-Chaffin-shot-teen-cousin-suspect-accidental/stories/201704260152"
1,-74.7959,40.2052,2017-04-26,1,"http://www.nj.com/mercer/index.ssf/2017/04/pa_shooting_victims_from_mercer_county_police_say.html"
1,-77.5649,40.6112,2017-04-26,0,"http://www.lewistownsentinel.com/news/local-news/2017/04/one-dead-following-officer-involved-shooting/"
1,-75.1523,39.9949,2017-04-27,0,"http://philadelphia.cbslocal.com/2017/04/27/police-investigate-2-shootings-in-north-philly/"
1,-76.5815,40.0748,2017-04-29,0,"http://lancasteronline.com/news/local/maytown-man-charged-with-shooting-killing--year-old-father/article_c5c37d0c-2d3b-11e7-9472-0b3981b51f4a.html"
1,-80.1058,42.1242,2017-04-30,0,"http://www.yourerie.com/news/local-news/murder-suspect-heading-to-trial/811258769"
1,-75.1467,39.9976,2017-04-30,1,"http://www.philly.com/philly/news/Randall-Ellis-shot-dead-North-Philly-Sunday-April-30-2017.html"
1,-78.9148,40.3259,2017-05-01,0,"http://local21news.com/news/local/police-seek-help-in-finding-owner-of-handgun-found-on-johnstown-teen"
1,-75.1296,39.9969,2017-05-01,0,"http://www.philly.com/philly/news/crime/Man-34-fatally-shot-in-Fairhill.html"
1,-80.0595,40.454,2017-05-03,0,"http://pittsburgh.cbslocal.com/2017/05/04/sheraden-shooting-1-dead/"
1,-76.8392,40.2693,2017-05-07,0,"http://www.pennlive.com/news/2017/05/man_died_of_self-inflicted_gun.html"
1,-75.1654,39.9751,2017-05-08,1,"http://www.philly.com/philly/news/crime/Man-24-dead-after-North-Philly-double-shooting.html"
1,-75.2374,39.9234,2017-05-10,0,"http://www.philly.com/philly/blogs/real-time/Crime-man-shot-dead-SW-Philly-May-10-2017.html"
2,-80.34,41.9442,2017-05-11,0,"http://www.yourerie.com/news/local-news/pennsylvania-state-police-investigating-murdersuicide/712115470"
2,-75.7993,41.5976,2017-05-12,0,"http://thetimes-tribune.com/news/nicholson-twp-deaths-ruled-murder-suicide-1.2193071"
1,-75.2178,39.9413,2017-05-12,0,"http://www.philly.com/philly/news/Philly-Police-identify-man-Ronald-Singletary-fatally-shot-by-officer-Robert-Schutte-in-Kingsessing.html"
2,-75.4867,40.6075,2017-05-13,0,"http://www.wfmz.com/news/lehigh-valley/authorities-investigating-murdersuicide-in-allentown/496437835"
1,-75.187,39.981,2017-05-15,0,"http://www.philly.com/philly/news/crime/Man-28-fatally-shot-in-Strawberry-Mansion.html"
2,-79.9921,40.5691,2017-05-15,0,"http://pittsburgh.cbslocal.com/2017/05/15/mccandless-murder-suicide/"
1,-75.9329,40.3452,2017-05-16,0,"http://www.bradfordera.com/news/state/reading-police-investigate-fatal-shooting-of-man-in-street/article_73400985-7afa-54d8-8dc2-b6d2daf4c48b.html"
1,-75.151,39.9824,2017-05-16,0,"http://6abc.com/news/deadly-shooting-in-hunting-park/1999643/"
2,-80.3478,40.3524,2017-05-17,0,"http://www.observer-reporter.com/20170517/two_identified_in_apparent_murder-suicide_in_eldersville"
1,-79.8906,40.4173,2017-05-18,0,"http://pittsburgh.cbslocal.com/2017/12/06/swissvale-park-shooting-arrest/"
1,-79.8711,40.4551,2017-05-18,0,"http://pittsburgh.cbslocal.com/2017/05/18/police-investigating-fatal-shooting-in-east-hills/"
1,-75.2636,39.924,2017-05-19,0,"http://6abc.com/news/woman-found-shot-to-death-in-darby-borough-home/2013080/"
1,-75.1384,40.0352,2017-05-19,0,"http://6abc.com/news/man-shot-and-killed-in-logan/2014454/"
1,-78.5575,40.5355,2017-05-19,0,"http://www.altoonamirror.com/news/local-news/2017/05/standoff-ends-following-suicide/"
1,-75.1993,40.8066,2017-05-20,0,"http://www.philly.com/philly/columnists/maria-panaritis/placeholder-maria-panaritis-20180120.html"
1,-79.985,40.4289,2017-05-21,0,"http://www.post-gazette.com/local/city/2017/06/29/Man-charged-homicide-Rowdy-Buck-bar-shooting-Pittsburgh-South-Side-Holyfield/stories/201706290230"
1,-76.8433,40.2395,2017-05-21,0,"http://abc27.com/2017/06/28/steelton-woman-to-face-trial-in-boyfriends-shooting-death/"
1,-75.5223,40.6842,2017-05-21,1,"http://6abc.com/news/suspect-killed-fleeing-police-in-pharmacy-robbery-shooting-idd/2019858/"
1,-79.8981,40.4558,2017-05-22,0,"http://www.wpxi.com/news/top-stories/man-shot-killed-inside-of-car-parked-in-neighborhood/525392150"
1,-75.1243,40.0409,2017-05-23,0,"http://www.philly.com/philly/news/crime/quadir-findley-murder-benjamin-drains-shooting-death-20170912.html"
1,-75.169,40.0372,2017-05-23,2,"http://www.philly.com/philly/news/crime/4-slain-24-hours-philly-20170524.html"
1,-79.9377,40.4702,2017-05-23,0,"http://www.wtae.com/article/womans-body-found-over-90-foot-hillside-in-garfield/9918440"
1,-75.24,39.9473,2017-05-24,0,"http://6abc.com/news/unidentified-man-shot-and-killed-in-sw-philadelphia/2030307/"
1,-75.3654,39.8633,2017-05-26,0,"http://www.philly.com/philly/news/crime/chester-police-investigate-3-shootings-1-fatal-20170527.html"
1,-79.8347,40.3403,2017-05-27,0,"http://triblive.com/local/allegheny/12458282-74/reward-offered-for-information-in-mckeesport-homicide"
1,-75.2264,39.9805,2017-05-28,0,"http://6abc.com/news/police-investigate-fatal-wynnefield-shooting/2046935/"
1,-76.7116,39.9643,2017-05-28,0,"http://abc27.com/2017/08/15/suspect-arrested-for-may-homicide-in-york/"
3,-75.1148,39.9937,2017-05-28,0,"http://www.philly.com/philly/news/crime/raymond-finney-jr-schuylkill-death-20170615.html"
1,-75.1168,39.9913,2017-05-29,1,"http://6abc.com/news/philadelphia-police-id-boy-14-killed-in-shooting/2052804/"
1,-76.8241,40.2348,2017-05-30,0,"http://abc27.com/2017/06/05/teen-dies-from-shooting-swatara-township-woman-charged-with-homicide/"
2,-75.1521,39.9956,2017-05-31,1,"http://6abc.com/news/gunmen-on-bicycles-kill-2-wound-1-in-north-philly/2060280/"
1,-75.9264,41.2239,2017-05-31,0,"http://www.khq.com/story/35576146/kids-scuffle-at-kindergarten-party-ends-with-pennsylvania-dad-fatally-shot"
1,-75.1741,39.9808,2017-06-01,0,"http://6abc.com/news/man-dies-after-being-shot-10-times-in-strawberry-mansion/2061194/"
1,-80.0374,40.4718,2017-06-02,0,"http://www.post-gazette.com/local/city/2017/06/02/Man-shot-in-overturned-SUV-Marshall-Shadeland-fatal-pittsburgh/stories/201706020148"
1,-75.3739,39.85,2017-06-02,0,NA
1,-75.4039,39.8437,2017-06-03,0,"http://www.nbcphiladelphia.com/news/local/Chester-Township-Delaware-County-Shooting-Deadly-Toddler-Dies-Pennsylvania-426183971.html"
1,-75.2317,39.9737,2017-06-03,0,"http://www.philly.com/philly/news/crime/Two-killed-three-others-shot-in-Philly-overnight-June-4-2018.html"
1,-80.0266,40.455,2017-06-04,0,"http://pittsburgh.cbslocal.com/2017/06/04/manchester-pittsburgh-car-house-shooting/"
2,-75.1866,40.0627,2017-06-04,0,"http://www.fox29.com/news/258848416-story"
1,-75.2329,39.9609,2017-06-04,0,"http://6abc.com/news/victim-shot-near-west-philadelphia-pizza-shop-dies/2064775/"
1,-80.3113,40.1982,2017-06-04,0,"http://www.observer-reporter.com/20170604/swat_unit_police_respond_to_home_where_man_commits_suicide"
1,-79.9092,41.7499,2017-06-04,0,"http://www.erienewsnow.com/story/36107207/three-men-to-face-trial-for-june-fatal-shooting-at-crawford-county-party"
1,-75.1925,39.9652,2017-06-05,0,"http://6abc.com/news/man-shot-and-killed-in-mantua-section-of-philadelphia/2067778/"
1,-75.1453,40.0526,2017-06-05,0,"http://www.philly.com/philly/news/crime/5-slain-over-weekend-in-philly-20170605.html"
1,-76.0487,40.0027,2017-06-05,0,"http://lancasteronline.com/news/local/gap-man-who-pleaded-guilty-to-rape-in-chester-county/article_00640594-49ed-11e7-abf2-3706fe0a89b1.html"
1,-75.1635,39.9159,2017-06-05,0,"http://6abc.com/news/man-shot-killed-after-argument-in-n-philadelphia-idd/2067787/"
1,-75.9193,40.3512,2017-06-06,1,"http://www.wfmz.com/news/berks/man-charged-with-murder-in-shooting-outside-mcdonalds/545554062"
3,-76.2124,39.9852,2017-06-06,0,"http://lancasteronline.com/news/local/coroner-says-mother-shot-her-children-then-herself-in-murder/article_6e6fc040-4b79-11e7-af58-df90ec882853.html"
2,-75.5002,40.6368,2017-06-07,0,"http://www.mcall.com/news/breaking/mc-whitehall-murder-suicide-belleview-drive-20170608-story.html"
4,-75.9228,41.4346,2017-06-08,0,"http://wnep.com/2017/06/27/weis-market-set-to-reopen-after-shooting/"
1,-80.3774,41.0314,2017-06-08,0,"http://www.post-gazette.com/local/north/2017/06/13/Third-arrest-homicide-Butler-Bowser-Barto-Howard-George-Ramsey/stories/201706130155"
1,-75.1204,40.0116,2017-06-08,0,"http://6abc.com/officer-to-be-dismissed-after-deadly-hunting-park-shooting/2387084/"
1,-75.1745,39.9325,2017-06-09,1,"http://www.nbcphiladelphia.com/news/local/Car-Repossession-Tow-Truck-Driver-Shooting-427468203.html"
1,-80.1044,42.1287,2017-06-10,0,"http://www.goerie.com/news/20171125/lake-erie-homicide-defendants-father-wants-tampering-charge-tossed"
1,-75.1541,39.9955,2017-06-11,0,"http://www.philly.com/philly/news/police-man-66-fatally-shot-10-times-on-broad-st-in-north-philly-20170611.html"
1,-80.2571,40.207,2017-06-11,0,"http://www.observer-reporter.com/20170610/south_strabane_man_found_dead_at_chartiers_skeet_range"
1,-75.379,39.8407,2017-06-15,0,"http://www.philly.com/philly/news/man-28-shot-to-death-in-chester-20170615.html"
1,-75.1547,39.9241,2017-06-17,0,"http://6abc.com/news/man-dies-after-shooting-in-hunting-park/2111071/"
1,-78.9414,40.7045,2017-06-17,0,"http://wccsradio.com/hearing-for-murder-defendant-lantz-today/"
1,-75.1525,39.9531,2017-06-18,1,"http://6abc.com/news/former-6abc-intern-killed-in-center-city-shooting/2114183/"
1,-75.3767,40.9696,2017-06-18,0,"http://www.mcall.com/news/police/mc-pol-saylorsburg-man-charged-in-sons-shooting-death-20171010-story.html"
1,-79.8555,40.3523,2017-06-19,0,"http://www.wtae.com/article/two-people-shot-in-mckeesport/10315169"
1,-75.0766,40.0319,2017-06-19,0,"http://6abc.com/news/northwood-shooting-victim-identified-by-philly-police/2118557/"
1,-80.0615,42.1185,2017-06-19,2,"http://www.erienewsnow.com/story/35718650/coroner-identifies-teenager-killed-in-east-erie-shooting"
1,-75.9704,40.7965,2017-06-19,0,"http://wnep.com/2017/06/20/state-police-name-son-suspect-in-murder-of-schuylkill-county-attorney/"
1,-75.2292,39.9706,2017-06-19,0,"http://6abc.com/grandmother-says-grandson-killed-after-answering-a-text/3136170/"
1,-77.6693,39.9395,2017-06-20,0,"http://www.publicopiniononline.com/story/news/2017/06/20/shooting-reported-near-chambers-elementary/413125001/"
1,-75.0697,40.0133,2017-06-21,0,"http://www.fox29.com/news/local-news/263374100-story"
1,-79.301,41.9297,2017-06-21,1,"http://www.goerie.com/news/20170622/man-charged-with-homicide-in-warren-county-shooting"
1,-79.9036,40.468,2017-06-23,0,"http://triblive.com/news/adminpage/12438912-74/police-investigate-deadly-shooting-in-pittsburghs-lincoln-lemington?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+alltribstories+%28TribLIVE+News%29"
1,-76.6549,39.8604,2017-06-24,0,"http://www.ydr.com/story/news/crime/2017/07/28/probe-into-nancy-folcomers-death-leads-gun-ammo-seizures-property-near-shooting/488503001/"
2,-75.4417,40.5364,2017-06-24,0,"http://www.lehighvalleylive.com/lehigh-county/index.ssf/2017/06/standoff_ends_in_apparent-murd.html"
1,-75.1065,40.0003,2017-06-24,0,"http://6abc.com/news/man-shot-and-killed-in-kensington/2141692/"
1,-76.426,40.3365,2017-06-24,0,"http://www.pennlive.com/news/2017/06/suicide_standoff_lebanon.html"
1,-79.876,40.446,2017-06-24,0,"http://www.wpxi.com/news/top-stories/police-investigating-fatal-wilkinsburg-shooting/540146143"
1,-75.1577,39.9203,2017-06-26,0,"http://www.philly.com/philly/news/crime/teen-shot-dead-south-philadelphia-crime-20170627.html"
1,-76.7418,39.9548,2017-06-27,0,"http://www.ydr.com/story/news/crime/2017/07/27/teen-arrested-killing-innocent-woman-leaving-york-corner-store/518010001/"
1,-75.3523,39.8585,2017-06-27,1,"http://www.delcotimes.com/general-news/20170921/cops-murder-victim-feared-for-his-familys-safety"
1,-75.145,39.9786,2017-06-28,0,"http://www.philly.com/philly/news/man-fatally-shot-in-north-philly-20170629.html"
1,-75.5896,39.9909,2017-06-28,0,"http://www.nbcphiladelphia.com/news/local/Police-Update-on-Road-Rage-Killing-of-18-Yr-Old-432100983.html"
1,-75.1288,40.0437,2017-06-29,0,"http://www.philly.com/philly/news/crime/marine-corps-vet-47-shot-dead-outside-olney-bar-20170629.html"
1,-80.048,42.128,2017-06-29,1,"http://www.erienewsnow.com/story/35827230/third-suspect-charged-with-murder-in-eries-latest-homicide"
2,-75.385,39.8351,2017-06-30,0,"http://www.philly.com/philly/news/2-dead-in-chester-shooting-20170630.html"
1,-79.9346,40.4677,2017-07-01,0,"http://www.wpxi.com/news/top-stories/garfield-shooting-victim-dies-after-being-placed-on-life-support/546608270"
1,-79.8199,40.4417,2017-07-02,0,"http://www.wpxi.com/news/top-stories/19-year-old-shot-to-death-on-remote-wilkins-township-road/547411543"
2,-76.8566,40.2497,2017-07-02,0,"http://www.pennlive.com/news/2017/07/man_victim_identified_in_harri.html"
1,-75.4696,40.6068,2017-07-04,1,"http://www.mcall.com/news/breaking/mc-pol-suspected-bloods-gang-member-charged-allentown-crip-killing-20171019-story.html"
1,-75.1869,40.0375,2017-07-04,0,"http://philadelphia.cbslocal.com/2017/07/05/west-germantown-shooting/#.WVzVnAx0LSU.twitter"
1,-75.3512,39.86,2017-07-04,2,"http://6abc.com/news/1-dead-2-critical-after-shooting-and-crash-in-delaware-co/2183952/"
1,-79.8952,40.8612,2017-07-05,0,"http://www.poconorecord.com/news/20170705/heavily-armed-driver-shoots-self-after-pursuit"
1,-75.1691,40.0239,2017-07-05,0,"http://6abc.com/news/police-id-germantown-homicide-victim/2184511/"
1,-75.3483,40.1209,2017-07-06,1,"http://www.philly.com/philly/news/crime/teenager-arrested-in-july-norristown-shooting-death-20170831.html"
1,-75.232,39.9609,2017-07-07,0,"http://philadelphia.cbslocal.com/2017/07/07/west-philadelphia-shooting/"
4,-75.0176,40.3496,2017-07-07,0,"http://www.pennlive.com/nation-world/2017/12/cousins_charged_in_shooting_de.html#incart_river_home"
1,-75.0721,39.9955,2017-07-08,0,"http://6abc.com/news/police-investigate-gruesome-death-in-bridesburg/2195462/"
1,-75.9423,41.2417,2017-07-09,0,"http://timesleader.com/news/local/667330/wife-of-man-killed-outside-bar-says-shooting-ripped-my-heart-out"
1,-76.7241,39.9556,2017-07-09,0,"http://fox43.com/2017/07/09/one-man-is-dead/"
1,-80.0217,40.4559,2017-07-09,1,"http://www.post-gazette.com/local/city/2017/07/09/Woman-killed-another-injured-fatal-shooting-Manchester-Pittsburgh-July-9/stories/201707090180"
1,-75.8312,40.3258,2017-07-09,0,"http://wnep.com/2017/07/09/deadly-shooting-outside-bar-in-pittston/"
1,-75.3419,40.1126,2017-07-09,0,"http://philadelphia.cbslocal.com/2017/07/10/arrest-in-shooting-in-norristown/"
